age,annual_income,employment_years,debt,number_of_open_accounts,payment_history_score,late_payments,credit_utilization,loan_amount,previous_defaults,savings,creditworthy
33,91600.72,4.54,6918.83,2,90.78,0,0.5696,16484.81,1,37175.57,1
26,36004.4,0.0,14209.32,5,74.29,0,0.1314,31016.42,0,4145.46,0
42,60216.02,3.74,5682.02,1,100.0,2,0.2414,2844.74,0,30821.68,1
53,67028.34,8.33,19116.15,7,64.44,1,0.1852,23987.14,1,9571.15,0
53,24361.54,13.33,22080.49,2,78.23,0,0.2602,17097.18,1,59475.46,0
44,67934.6,9.77,14495.0,3,59.29,0,0.4982,15423.7,1,6122.15,1
62,152960.47,0.0,21839.95,9,90.11,0,0.162,16803.29,0,4622.68,1
48,73354.54,10.21,25125.74,11,80.65,1,0.1808,11859.13,0,12914.82,0
24,106737.13,4.21,22106.27,7,58.22,3,0.0914,6697.77,0,23013.3,0
58,59718.68,9.27,6883.64,12,68.52,1,0.3385,7428.53,0,2567.79,1
49,53217.37,6.93,14698.72,10,95.55,0,0.247,18341.12,0,8918.9,1
52,65294.34,6.04,24984.26,10,93.63,1,0.4488,45076.33,0,4786.92,1
48,38099.88,6.49,63646.3,12,50.97,2,0.1869,39062.86,3,29490.93,1
48,35645.91,6.89,14480.91,2,66.14,1,0.7008,21149.19,0,7717.66,1
25,97238.84,13.72,27967.52,3,100.0,2,0.4517,12784.98,1,35382.42,0
48,101991.27,6.9,36339.06,6,70.93,1,0.7319,76287.94,0,6737.72,1
59,35210.18,12.43,15380.03,8,76.53,1,0.6286,28991.42,0,16876.57,0
35,85023.92,11.7,45109.73,12,90.03,1,0.1638,27292.77,0,3704.6,0
50,52889.31,10.34,47092.36,2,52.29,1,0.5591,7082.63,0,11635.79,0
22,64087.35,0.0,54308.43,3,58.56,2,0.13,21525.66,0,4788.73,1
38,67655.7,12.58,25974.56,4,68.42,0,0.2672,7567.66,0,50778.84,0
42,86038.16,4.71,118923.63,9,92.87,3,0.2105,77286.99,0,33733.05,0
69,57085.86,10.58,11002.75,12,89.92,3,0.4266,9990.96,0,15592.81,0
31,103741.9,2.14,98458.37,12,85.12,0,0.4762,11770.83,2,32250.86,0
34,63216.73,1.07,33281.82,9,71.37,4,0.1608,11425.88,0,8182.58,1
41,72836.42,16.88,52598.19,10,91.67,4,0.1665,13891.21,2,22252.08,1
69,37802.11,2.22,13934.13,5,71.16,0,0.5197,28779.3,2,11946.53,1
62,145289.71,12.73,35373.1,8,82.85,2,0.4678,18038.22,0,20407.38,1
22,67948.79,7.59,56370.79,3,88.19,2,0.715,18541.37,0,14338.38,1
32,75806.35,4.9,7541.98,7,100.0,5,0.2442,29777.36,1,12203.8,0
61,26672.94,6.78,15795.27,4,72.7,2,0.29,6222.76,0,2517.33,1
23,37982.19,0.49,3245.83,12,67.8,1,0.2621,30388.75,0,7179.2,0
62,96003.13,6.93,15606.78,5,94.32,0,0.1573,19779.15,0,65731.45,1
34,62579.28,1.59,9370.49,5,95.55,2,0.298,11005.83,0,11573.96,1
65,23245.98,5.02,15122.11,5,64.91,0,0.2427,19739.26,0,6758.12,1
35,87756.3,11.63,150000.0,11,55.92,2,0.183,19485.81,1,13430.32,1
42,43061.57,8.27,71137.5,12,93.1,2,0.3942,2868.11,1,3265.23,0
53,103795.83,0.0,5690.59,6,47.33,2,0.1173,47121.76,0,8405.69,1
27,52868.47,11.26,28077.33,12,46.52,0,0.2685,41950.56,0,15232.68,1
48,60307.18,6.96,34107.48,10,69.31,0,0.4046,7214.69,1,20084.75,1
45,93490.77,4.29,13736.47,11,73.64,5,0.8095,10604.79,1,17594.25,0
59,36725.13,10.73,20759.79,11,55.04,0,0.2492,46427.96,0,50305.84,1
69,35182.62,6.16,22447.01,4,75.55,2,0.0908,28659.95,0,7029.2,1
53,50345.48,1.17,6129.31,7,76.26,1,0.4959,23630.78,0,3332.27,1
41,79802.99,16.24,7887.73,4,64.31,1,0.2285,24421.97,0,9322.22,0
40,30218.02,6.91,20660.2,4,100.0,2,0.5147,23386.48,1,7745.24,1
41,25964.17,6.59,19489.85,6,78.88,1,0.6278,8542.0,0,15220.44,1
60,79679.12,4.97,10211.57,1,90.06,1,0.1407,12123.24,0,9926.46,1
36,41929.64,12.9,9534.06,3,48.7,2,0.277,36181.29,1,14638.78,0
29,46100.85,4.38,16752.51,10,48.56,1,0.6571,28495.63,0,14113.38,1
37,23849.63,0.0,36572.35,2,79.36,2,0.2469,21958.89,1,28529.43,0
22,40519.87,3.61,16931.62,8,100.0,1,0.4037,11436.52,2,12701.08,0
26,54813.03,13.63,65927.55,10,55.84,1,0.3714,35975.2,1,15455.53,1
25,83596.63,11.16,10316.2,4,74.29,0,0.0025,9149.83,2,63864.39,1
58,38872.21,5.72,21007.08,6,52.24,2,0.4413,50752.55,0,2943.84,0
56,115949.23,13.87,13557.44,11,60.5,2,0.3818,10833.25,0,15143.95,0
55,40418.31,10.74,28810.52,11,75.09,2,0.4685,9779.53,0,11574.82,0
43,40444.95,5.67,9632.1,12,64.12,1,0.2815,18384.4,0,13407.59,0
56,109853.11,6.17,84123.84,8,51.11,0,0.3419,20888.64,1,21644.04,1
28,60490.74,8.65,4654.72,11,50.75,2,0.7132,19265.37,0,6061.95,0
65,42902.15,2.84,71005.4,5,41.82,1,0.044,7130.71,0,7682.43,0
45,51291.41,7.02,19343.62,8,79.63,3,0.6304,24178.28,1,24856.12,0
66,101110.73,8.54,28002.99,9,81.56,0,0.2073,35727.4,1,11157.96,1
28,106391.37,0.0,52352.08,12,81.48,2,0.2367,17006.79,0,5411.48,0
45,38083.31,6.05,35748.24,5,57.45,1,0.3482,6098.62,2,26050.55,1
55,53959.73,5.48,10037.72,11,88.1,0,0.5663,15525.08,0,22681.76,1
45,57277.26,12.14,29091.42,7,83.31,2,0.2857,8144.66,0,14771.8,1
42,35287.37,0.0,80186.16,2,72.12,4,0.085,4656.13,0,18515.69,0
29,53638.92,5.09,8851.07,8,69.49,1,0.659,12263.45,1,21243.47,1
39,55131.9,4.59,,12,61.61,1,0.4657,56107.2,1,11761.89,0
32,91874.86,11.8,24506.39,6,75.07,0,0.4174,16989.44,0,16848.63,0
35,94696.25,6.78,12727.81,7,97.88,2,0.1974,14868.38,0,4360.69,1
54,47426.87,15.98,8808.7,12,90.21,1,0.1004,29588.4,0,10579.46,0
51,49951.59,10.31,15055.48,12,67.9,0,0.5676,27609.1,0,30357.76,1
50,74162.95,4.95,3766.51,5,80.62,0,0.1367,6451.42,0,92099.61,1
38,42266.65,8.2,12912.25,10,54.38,3,0.4728,66601.26,0,14236.13,1
68,71680.68,5.23,14585.53,8,83.68,1,0.341,20672.73,1,5648.27,1
25,52866.79,11.3,7620.49,8,58.71,0,0.33,33955.34,0,9260.14,1
37,35555.82,0.34,32741.65,9,83.04,1,0.2311,11868.07,0,3450.42,1
26,35757.38,2.88,15110.03,4,100.0,1,0.4171,4580.16,2,23311.55,1
37,105478.76,9.28,10823.68,4,62.88,1,0.2446,16585.95,1,13278.75,1
68,51261.68,13.13,13875.22,1,100.0,3,0.3198,8320.8,2,5391.44,0
38,115064.46,0.0,23913.85,11,79.85,1,0.3434,40860.65,0,10728.32,1
65,43649.72,13.87,19085.88,4,60.01,0,0.5799,6675.7,1,24045.5,1
45,62700.88,6.3,10273.75,9,59.27,1,0.4597,18337.82,0,13337.35,1
55,161424.53,0.0,19903.48,9,100.0,0,0.1012,27383.71,0,6858.76,1
43,34175.5,0.0,17284.86,9,79.89,1,0.6132,24239.47,0,31997.14,1
34,23413.59,0.0,7234.06,11,62.94,1,0.4857,12675.87,0,17359.06,1
58,98130.55,6.9,14290.11,11,68.74,2,0.7114,5177.45,0,6400.97,1
68,37912.05,6.67,28612.46,1,78.89,1,0.1766,6268.08,0,13038.67,1
33,54489.9,10.17,28448.13,11,71.86,1,0.0986,10594.19,0,1900.32,1
59,42252.77,4.25,14975.27,3,77.53,0,0.2332,6707.84,1,16103.89,1
33,62054.09,1.46,30931.96,8,100.0,1,0.4144,17073.92,1,157690.01,1
56,35858.9,4.93,8218.66,9,53.95,1,0.103,10555.06,1,34027.02,1
59,50722.02,7.17,8424.81,1,82.31,0,0.1988,7282.08,0,10919.98,0
43,67339.71,8.15,14722.37,4,70.83,0,0.4107,6649.22,0,15892.53,1
57,34938.67,3.05,59645.86,11,64.02,3,0.0288,5906.25,1,20727.73,0
34,40136.87,11.51,20511.24,2,89.15,2,0.2884,17302.92,0,21973.73,0
24,47040.59,3.89,14441.11,3,48.62,1,0.431,10768.75,0,11426.59,1
25,28915.17,2.65,61910.03,1,34.14,0,0.3574,18327.23,0,1783.75,0
42,45475.82,4.29,14308.03,3,75.59,1,0.2013,17050.98,0,9256.65,0
65,58020.22,12.37,107571.78,8,69.79,1,0.4338,15612.22,0,7400.23,0
27,45949.19,6.34,11957.34,11,50.35,3,0.0538,28317.38,0,11580.64,0
43,48677.35,3.53,8012.39,8,44.63,0,0.7226,6417.64,0,6449.48,0
55,54509.63,11.63,15756.96,4,100.0,1,0.1952,28424.56,0,21860.35,1
30,40945.77,17.71,14747.95,11,79.41,0,0.0844,23692.59,2,78528.39,0
56,75061.77,8.05,9432.83,5,72.31,0,0.4127,15672.82,0,30455.13,0
35,,13.17,144308.16,4,,1,0.6297,10224.51,1,11891.65,0
60,44628.02,12.18,23226.02,7,88.35,2,0.5099,18504.96,0,49449.02,1
49,68420.49,3.97,26095.72,2,100.0,5,0.2587,24640.58,0,29569.49,0
47,49378.02,7.13,,5,53.12,0,0.7175,6755.2,2,24378.31,0
29,64832.21,0.59,11338.87,10,52.52,3,0.2979,27584.58,0,7551.35,0
43,111267.14,5.98,40887.26,8,81.87,1,0.7031,60797.35,0,11092.67,1
62,69146.68,3.87,4710.05,12,78.63,2,0.224,17199.61,0,21392.79,1
21,24761.66,4.99,7214.41,10,91.99,1,0.7365,44819.24,1,88027.95,1
58,67466.5,3.25,14768.92,5,45.91,1,0.4324,25099.28,0,46084.62,1
45,95786.51,5.56,53048.66,10,83.26,1,0.8206,21645.86,2,21535.91,1
56,49780.08,9.66,13339.88,11,87.83,0,0.3081,11021.73,0,14604.78,0
53,86087.9,6.4,25110.67,8,86.98,1,0.3726,14177.31,0,25106.84,1
42,40317.32,0.0,18403.75,10,65.49,2,0.2405,9059.36,1,20446.09,0
36,28186.43,3.27,50773.7,7,80.3,1,0.301,34835.76,0,50189.31,1
51,58607.3,0.0,5066.21,11,59.59,3,0.0454,10688.75,2,4720.54,1
27,24951.12,8.22,32431.89,3,67.31,3,0.1315,61792.83,1,13037.75,0
49,49374.61,9.52,15352.11,6,55.31,1,0.2297,24464.26,0,25031.27,1
25,98141.69,8.28,37723.34,4,59.86,1,0.2519,23717.31,1,45616.18,1
52,23288.04,3.06,9345.98,2,68.14,1,0.4104,7127.06,1,73352.72,1
51,30924.84,8.23,18354.71,8,64.15,0,0.3262,28680.33,0,3409.08,1
25,34567.66,4.65,16582.81,2,59.86,1,0.0576,15427.38,2,6637.57,0
58,53454.95,1.31,8072.18,3,51.21,2,0.1984,12127.91,0,11902.74,0
41,46654.09,10.71,6462.66,10,100.0,0,0.1071,11372.84,1,4153.67,1
59,103228.46,11.09,11314.02,3,63.99,0,0.3067,7549.85,0,56779.99,1
23,84503.24,11.74,19971.71,11,77.28,1,0.1172,18125.08,0,14177.31,0
29,68731.39,3.96,9824.13,1,43.86,2,0.0968,16014.43,1,36467.21,0
45,58725.08,12.9,13822.71,6,93.72,0,0.1522,7176.77,0,10817.23,1
30,65646.65,4.53,3981.8,1,74.67,1,0.4628,25808.51,1,18320.13,0
37,37316.71,10.27,13381.21,1,64.9,2,0.5556,79862.78,1,3717.65,0
53,80889.0,4.45,40822.81,10,65.04,0,0.3319,6642.97,1,4891.38,0
28,33345.18,5.88,31642.97,1,85.91,3,0.6861,16628.29,0,4975.12,0
54,80098.16,0.0,16790.85,11,24.75,0,0.1372,57465.98,0,2716.24,1
26,93793.66,5.49,21873.9,8,58.81,2,0.692,10445.9,0,31948.54,1
29,60474.53,7.46,9279.09,6,70.09,1,0.1652,24487.08,0,12519.4,1
49,50807.16,4.95,66017.69,12,69.91,1,0.181,23691.71,0,32853.21,0
59,65856.14,15.78,94121.05,5,100.0,1,0.3153,28535.51,0,11425.43,1
29,15175.01,1.19,20537.05,5,66.6,1,0.3445,64924.08,0,34952.87,0
35,63013.52,4.18,143010.84,5,87.84,2,0.1167,5142.18,0,29909.98,1
66,52264.84,2.48,10446.07,8,100.0,1,0.2726,20573.15,0,11361.7,1
69,53761.12,4.18,6616.12,11,82.73,1,0.4241,12675.63,0,15159.1,0
49,75586.13,12.16,10202.91,7,61.22,0,0.7089,17505.78,0,17412.22,0
42,53180.25,14.39,15101.28,4,51.45,2,0.5727,18576.51,0,34605.05,1
37,32925.26,3.5,114437.06,11,83.93,3,0.2648,14650.5,0,12313.08,0
51,51609.3,3.38,14374.34,8,98.32,2,0.3405,8408.73,0,17482.92,0
49,56697.67,1.21,9048.94,10,80.74,1,0.5832,8819.36,0,3358.41,1
35,57919.46,13.53,8772.35,6,91.74,1,0.4194,79702.43,1,5734.36,0
22,59157.12,12.61,44808.12,3,100.0,0,0.2309,6843.31,0,6546.95,0
28,87798.92,6.47,39973.36,12,85.4,2,0.3149,42479.52,0,20175.76,1
67,33737.76,0.02,12206.75,9,54.39,2,0.6484,8721.98,0,6724.46,0
41,59525.12,0.47,4013.82,4,72.82,0,0.2055,19242.86,1,14035.39,0
44,98278.13,7.85,7297.25,11,93.92,1,0.6155,71385.66,1,10928.01,0
43,25197.83,9.75,71333.55,1,68.02,0,0.4517,31398.37,0,12701.18,0
59,59630.92,0.0,31231.21,12,96.09,2,0.1505,6577.74,0,27658.0,0
24,42263.04,5.39,18967.76,7,70.93,3,0.2818,14217.21,0,14678.77,0
25,46549.37,15.09,80273.4,8,77.35,1,0.5734,17676.99,0,10108.65,0
34,36604.45,5.91,86231.26,1,66.39,0,0.5069,37031.57,0,18198.03,1
44,50959.71,14.45,17489.84,3,74.55,1,0.3727,18605.43,0,54185.78,0
53,125951.66,10.25,17748.74,9,75.4,1,0.2881,16105.54,0,13270.7,1
45,31135.22,1.58,11299.23,7,46.26,2,0.4516,60000.37,0,3988.83,1
42,32492.48,5.54,14334.79,2,64.93,1,0.0697,54413.2,1,3673.52,1
66,30614.16,6.36,5481.13,8,52.27,0,0.6049,29354.23,0,9323.87,0
28,119662.04,2.24,5463.35,9,65.49,3,0.6479,11612.61,1,4299.64,1
49,44669.03,2.15,4536.9,4,59.28,1,0.3039,2813.66,0,1393.64,1
47,54369.08,14.53,42855.82,9,88.19,1,0.4504,7352.4,1,9221.45,1
44,45882.37,2.11,5161.62,12,88.37,2,0.1657,6108.66,0,16902.85,0
60,35957.69,12.39,85656.2,6,80.96,3,0.5287,17245.33,0,41695.62,0
34,49477.37,4.82,10034.9,3,51.72,1,0.1531,34706.04,0,11811.32,1
67,166258.33,6.87,72258.62,12,70.43,0,0.4079,71768.51,0,15858.83,0
37,102900.77,9.81,13441.25,11,50.44,1,0.1766,43899.31,0,19086.41,1
47,37468.9,4.01,5141.9,6,69.64,3,0.5269,10952.61,0,12928.62,0
46,73607.1,9.84,50269.32,6,82.36,0,0.5913,21501.99,0,6580.92,1
62,37831.72,0.0,55249.77,11,87.87,1,0.2284,23855.03,0,84681.6,0
42,24728.78,9.2,8719.23,1,79.57,2,0.5062,6042.04,1,4930.59,0
34,87017.84,0.0,13805.26,4,92.14,0,0.2182,9765.23,0,17455.85,1
22,92700.6,5.87,8721.01,7,76.16,0,0.1615,13314.48,0,5947.5,1
38,88063.37,11.27,16345.46,8,68.26,1,0.4881,79944.46,0,13283.36,0
61,44518.01,10.11,19621.68,8,85.98,1,0.4337,23591.58,2,17347.41,1
21,51023.39,0.51,13589.06,5,86.5,0,0.2651,7171.8,0,10004.6,1
64,77071.05,1.15,4200.73,11,63.61,2,0.2236,13369.63,0,4025.88,0
47,65595.45,3.56,11309.79,8,78.06,0,0.1704,24643.98,0,8778.15,1
27,46071.58,7.93,31600.94,7,67.29,1,0.4929,15098.28,0,33002.42,1
35,26542.6,0.0,15229.77,12,39.86,2,0.5445,14028.08,1,3104.92,0
48,57891.87,6.93,13851.86,2,79.04,1,0.3716,30047.15,0,52076.32,1
36,89379.16,8.56,8548.45,9,51.29,0,0.2442,48009.83,1,13069.57,0
26,32085.96,5.58,11048.9,12,77.25,1,0.2594,42168.89,0,22832.6,0
53,73315.71,9.63,55563.71,8,47.44,0,0.2226,14588.04,0,4647.4,1
53,63849.38,8.12,7232.25,7,60.49,4,0.3031,16035.86,0,10493.65,0
26,77084.32,4.29,32041.45,5,65.06,2,0.471,14497.58,0,6589.66,0
34,81428.24,0.0,18690.51,4,,4,0.2705,37696.46,1,15653.64,0
32,40238.48,7.67,21894.17,7,63.46,2,0.3089,13710.12,1,4491.67,1
53,26567.84,2.23,10019.03,11,54.8,2,0.2271,4683.11,1,6864.96,0
56,43260.91,4.11,13584.78,6,77.83,1,0.0534,25232.13,0,77140.45,0
56,82059.16,9.4,17917.82,2,68.53,0,0.2405,26072.7,0,21479.87,0
66,43096.05,14.09,11867.91,6,84.65,0,0.6853,13553.56,0,16890.08,0
58,40246.12,6.81,23465.18,2,55.81,1,0.1539,65863.9,0,16646.61,1
36,24233.25,9.77,25953.93,12,75.37,2,0.3668,12314.8,0,44597.79,1
26,121028.32,0.0,102364.2,7,100.0,2,0.2148,48557.87,0,10708.28,1
51,79750.6,8.23,22486.69,3,68.17,1,0.3411,7050.21,1,27874.81,0
